src,dst
0,544
0,875
0,903
0,16
0,905
0,843
0,399
0,0
1,828
1,453
1,838
1,459
1,587
1,849
1,81
1,846
1,86
1,214
1,358
1,642
1,498
1,125
1,896
1,20
1,840
1,412
1,545
1,935
1,937
1,633
1,567
1,568
1,314
1,570
1,571
1,1
2,286
2,733
2,829
2,45
2,237
2,428
2,888
2,536
2,282
2,126
2,2
3,317
3,129
3,956
3,416
3,323
3,548
3,104
3,774
3,510
3,143
3,1013
3,282
3,3
4,417
4,647
4,876
4,847
4,186
4,20
4,4
5,386
5,70
5,774
5,623
5,887
5,94
5,5
6,193
6,705
6,580
6,336
6,426
6,849
6,727
6,983
6,6
6,111
6,492
6,759
6,1015
6,507
6,763
6,132
6,386
6,396
6,767
6,400
6,783
6,23
6,410
6,286
6,287
6,38
6,803
6,170
6,173
6,52
6,53
6,782
6,61
7,318
7,1019
7,575
7,230
7,231
7,774
7,617
7,682
7,84
7,282
7,7
8,143
8,580
8,588
8,716
8,717
8,718
8,975
8,98
8,743
8,369
8,760
8,765
8,8
8,773
8,396
8,653
8,665
8,540
8,269
8,928
8,803
8,939
8,433
8,950
8,188
9,480
9,930
9,17
9,49
9,122
9,282
9,9
10,492
10,351
10,575
10,498
10,652
10,72
10,931
10,296
10,234
10,905
10,18
10,625
10,754
10,282
10,697
10,10
11,965
11,108
11,665
11,11
12,461
12,590
12,214
12,98
12,612
12,613
12,615
12,616
12,617
12,664
12,1002
12,628
12,758
12,382
12,892
12,392
12,12
12,774
12,649
12,270
12,275
12,150
12,282
12,924
12,418
12,45
12,185
13,144
13,13
13,23
13,402
14,143
14,272
14,617
14,14
15,64
15,838
15,461
15,61
15,477
15,641
15,482
15,492
15,740
15,111
15,621
15,876
15,813
15,258
15,259
15,143
15,272
15,273
15,412
15,146
15,38
15,930
15,933
15,304
15,686
15,52
15,294
15,570
15,692
15,187
15,188
15,571
15,15
16,0
16,937
16,544
16,368
16,903
16,905
16,399
16,218
16,16
17,9
17,52
17,125
17,743
17,17
18,10
18,702
18,961
18,303
18,328
18,75
18,203
18,525
18,212
18,721
18,937
18,733
18,302
18,738
18,231
18,489
18,492
18,621
18,498
18,753
18,120
18,632
18,252
18,776
18,18
18,528
18,282
18,286
18,164
18,652
18,440
18,801
18,428
18,103
18,177
18,308
18,21
18,567
18,568
18,358
18,570
18,697
19,63
19,732
19,928
19,294
19,419
19,446
19,19
19,775
19,461
19,896
19,20
19,231
19,240
19,764
19,91
20,1
20,4
20,19
20,193
20,580
20,459
20,79
20,717
20,845
20,719
20,87
20,876
20,834
20,644
20,139
20,775
20,20
20,910
20,282
20,297
20,718
20,952
21,18
21,286
21,99
21,421
21,808
21,81
21,717
21,814
21,930
21,252
21,21
22,764
22,98
22,416
22,625
22,704
22,896
22,91
22,981
22,86
22,966
22,299
22,90
22,588
22,911
22,620
22,720
22,930
22,980
22,1013
22,790
22,186
22,22
23,6
23,13
23,224
23,383
23,295
23,774
23,211
23,23
23,435
23,151
23,262
23,248
24,477
24,90
24,738
24,111
24,498
24,213
24,882
24,567
24,568
24,24
25,317
25,143
25,98
25,322
25,112
25,325
25,421
25,359
25,773
25,621
25,969
25,461
25,875
25,272
25,877
25,213
25,25
25,1011
26,642
26,743
26,277
26,717
26,718
26,119
26,568
26,341
26,252
26,26
27,882
27,876
27,339
27,27
28,925
28,294
28,740
28,774
28,28
28,62
29,98
29,482
29,294
29,845
29,313
29,91
29,29
30,412
30,36
30,70
30,965
30,778
30,434
30,626
30,536
30,30
31,698
31,954
31,446
31,957
31,198
31,74
31,967
31,80
31,716
31,717
31,718
31,465
31,721
31,214
31,872
31,39
31,983
31,984
31,858
31,227
31,865
31,358
31,743
31,237
31,245
31,628
31,31
31,760
31,1019
31,383
31,516
31,901
31,144
31,81
31,36
31,535
31,735
31,920
31,32
31,312
31,289
31,928
31,803
31,677
31,166
31,553
31,554
31,294
31,54
31,564
31,231
31,439
31,536
31,950
31,719
32,31
32,702
32,806
32,80
32,225
32,356
32,615
32,749
32,751
32,244
32,498
32,518
32,773
32,774
32,289
32,284
32,32
32,163
32,39
32,804
32,297
32,687
32,439
32,60
33,95
33,33
33,732
33,98
33,767
33,38
33,642
33,286
33,424
33,743
33,346
33,556
33,461
33,146
33,949
33,187
33,188
34,34
34,861
34,385
34,704
34,616
34,617
34,620
34,876
34,464
34,878
34,371
34,877
34,981
35,743
35,86
35,469
35,982
35,98
35,742
35,616
35,495
35,665
35,501
35,1011
35,1019
35,893
35,148
35,275
35,410
35,411
35,35
35,930
35,47
35,813
35,52
35,309
35,567
35,568
36,30
36,31
36,63
36,64
36,69
36,580
36,581
36,583
36,765
36,86
36,101
36,614
36,111
36,621
36,625
36,119
36,120
36,632
36,143
36,652
36,664
36,164
36,176
36,177
36,691
36,188
36,189
36,254
36,717
36,718
36,719
36,721
36,729
36,428
36,733
36,227
36,742
36,743
36,237
36,240
36,246
36,760
36,763
36,256
36,773
36,774
36,271
36,272
36,282
36,286
36,797
36,803
36,813
36,315
36,320
36,322
36,328
36,838
36,849
36,851
36,349
36,876
36,877
36,383
36,386
36,896
36,388
36,911
36,416
36,421
36,422
36,934
36,937
36,436
36,949
36,954
36,464
36,465
36,466
36,467
36,982
36,983
36,477
36,482
36,484
36,492
36,1019
36,512
36,516
36,525
36,651
36,542
36,39
36,41
36,553
36,46
36,47
36,556
36,61
36,56
36,59
36,570
36,36
37,1019
37,733
37,354
37,452
37,75
37,252
37,776
37,237
37,492
37,717
37,273
37,339
37,628
37,470
37,630
37,406
37,37
38,6
38,15
38,33
38,64
38,193
38,957
38,269
38,574
38,61
38,575
38,346
38,767
38,301
38,482
38,384
38,314
38,615
38,743
38,516
38,626
38,627
38,501
38,1014
38,52
38,763
38,764
38,893
38,643
38,880
38,647
38,143
38,146
38,522
38,915
38,917
38,803
38,427
38,556
38,51
38,433
38,53
38,309
38,946
38,692
38,949
38,187
38,188
38,148
38,38
39,31
39,32
39,36
39,698
39,828
39,198
39,74
39,583
39,967
39,718
39,719
39,721
39,214
39,723
39,983
39,479
39,865
39,231
39,237
39,166
39,245
39,920
39,515
39,773
39,774
39,650
39,535
39,286
39,287
39,39
39,929
39,803
39,928
39,553
39,167
39,564
39,439
39,316
40,828
40,665
40,40
41,36
41,924
41,69
41,41
41,910
41,849
41,846
42,42
42,992
42,180
42,745
43,446
43,733
43,798
43,705
43,615
43,43
43,774
43,377
43,270
43,621
43,400
43,61
43,625
43,709
43,849
43,1011
43,213
43,1014
43,665
44,959
44,774
44,740
44,44
44,364
44,270
44,739
44,552
44,919
45,2
45,12
45,829
45,692
45,325
45,709
45,586
45,841
45,716
45,717
45,718
45,339
45,213
45,957
45,851
45,980
45,726
45,92
45,983
45,984
45,985
45,937
45,90
45,481
45,482
45,747
45,106
45,364
45,492
45,706
45,372
45,1010
45,1012
45,127
45,133
45,557
45,392
45,649
45,543
45,143
45,270
45,907
45,98
45,273
45,733
45,247
45,522
45,914
45,459
45,664
45,286
45,797
45,282
45,929
45,421
45,295
45,908
45,45
45,428
45,302
45,939
45,304
45,308
45,210
45,947
45,811
45,54
45,316
46,36
46,758
46,46
47,35
47,36
47,828
47,71
47,583
47,722
47,717
47,718
47,846
47,847
47,86
47,849
47,512
47,344
47,346
47,729
47,354
47,609
47,738
47,231
47,743
47,872
47,365
47,240
47,886
47,760
47,507
47,253
47,764
47,384
47,767
47,896
47,389
47,505
47,773
47,774
47,278
47,52
47,665
47,608
47,927
47,291
47,80
47,802
47,930
47,801
47,188
47,935
47,174
47,939
47,887
47,803
47,436
47,946
47,692
47,949
47,341
47,47
48,543
48,739
48,805
48,490
48,48
48,527
48,241
48,976
48,341
48,121
49,9
49,732
49,287
49,682
49,841
49,495
49,718
49,847
49,49
50,227
50,609
50,516
50,391
50,203
50,143
50,906
50,208
50,146
50,721
50,723
50,69
50,567
50,506
50,50
51,38
51,193
51,717
51,51
51,52
51,53
51,627
51,469
51,346
51,442
52,6
52,15
52,17
52,35
52,38
52,47
52,51
52,498
52,340
52,849
52,346
52,98
52,482
52,739
52,743
52,110
52,111
52,242
52,625
52,52
52,643
52,265
52,187
52,146
52,411
52,667
52,286
52,545
52,803
52,424
52,188
52,685
52,433
52,53
52,294
52,568
52,950
52,570
53,6
53,38
53,51
53,52
53,396
53,905
53,146
53,53
53,340
53,782
53,567
53,346
54,31
54,45
54,166
54,423
54,522
54,716
54,54
54,1011
55,423
55,498
55,55
56,36
56,679
56,744
56,56
57,446
57,98
57,774
57,461
57,621
57,860
57,665
57,187
57,188
57,815
57,57
58,774
58,58
59,36
59,828
59,951
59,581
59,202
59,81
59,846
59,86
59,849
59,346
59,609
59,743
59,621
59,876
59,813
59,501
59,632
59,767
59,642
59,516
59,143
59,794
59,286
59,672
59,59
59,935
59,937
59,939
59,940
59,941
59,433
59,568
59,187
59,188
60,32
60,111
60,702
60,944
60,774
60,746
60,207
60,82
60,846
60,182
60,849
60,60
60,561
61,6
61,15
61,36
61,38
61,43
61,64
61,193
61,453
61,202
61,813
61,717
61,718
61,719
61,61
61,727
61,859
61,98
61,483
61,993
61,614
61,742
61,743
61,346
61,238
61,876
61,580
61,881
61,887
61,433
61,667
61,1019
61,893
61,133
61,642
61,644
61,646
61,139
61,521
61,904
61,269
61,119
61,526
61,146
61,782
61,148
61,275
61,404
61,406
61,280
61,665
61,412
61,548
61,803
61,175
61,940
61,305
61,633
61,930
61,309
61,693
61,949
61,187
61,188
62,28
62,827
62,198
62,192
62,459
62,842
62,589
62,339
62,342
62,477
62,987
62,606
62,482
62,612
62,740
62,868
62,999
62,370
62,687
62,889
62,383
62,388
62,520
62,838
62,654
62,656
62,786
62,664
62,665
62,676
62,170
62,681
62,940
62,180
62,151
62,949
62,570
62,62
63,19
63,36
63,588
63,716
63,717
63,464
63,719
63,872
63,91
63,92
63,602
63,477
63,480
63,615
63,237
63,516
63,876
63,1008
63,682
63,767
63,770
63,775
63,525
63,909
63,536
63,282
63,545
63,802
63,421
63,169
63,427
63,557
63,336
63,718
63,692
63,63
64,15
64,36
64,38
64,61
64,64
64,446
64,988
64,767
64,954
64,549
64,286
64,647
64,743
64,111
64,202
64,813
64,265
64,878
64,627
64,782
64,633
65,665
65,65
66,993
66,930
66,581
66,335
66,718
66,628
66,823
66,66
67,486
67,402
67,67
68,317
68,160
68,214
68,860
68,847
68,68
69,36
69,41
69,50
69,69
69,71
69,710
69,838
69,336
69,467
69,724
69,96
69,605
69,733
69,230
69,739
69,879
69,122
69,890
69,637
69,892
69,395
69,144
69,784
69,912
69,158
69,286
69,923
69,672
69,291
69,420
69,231
69,565
69,164
70,5
70,30
70,763
70,774
70,231
70,297
70,617
70,623
70,665
70,498
70,86
70,309
70,70
71,47
71,69
71,71
71,915
71,567
72,10
72,317
72,477
72,351
72,233
72,297
72,584
72,91
72,532
72,910
72,149
72,72
72,214
72,86
72,692
72,90
72,440
72,665
73,477
73,421
73,583
73,743
73,522
73,875
73,813
73,213
73,216
73,939
73,665
73,888
73,73
74,31
74,39
74,389
74,74
74,774
74,737
74,237
74,282
75,18
75,37
75,286
75,90
75,270
75,721
75,808
75,918
75,905
75,814
75,1008
75,120
75,567
75,568
75,282
75,100
75,75
76,246
76,76
77,349
77,828
77,926
77,451
77,135
77,231
77,77
77,522
77,498
77,389
77,277
77,915
77,884
77,440
77,665
77,148
78,207
78,891
78,78
79,20
79,191
79,671
79,417
79,642
79,982
79,231
79,515
79,774
79,928
79,205
79,79
79,527
79,541
79,453
79,873
79,852
79,599
79,156
79,687
80,31
80,32
80,47
80,896
80,802
80,679
80,774
80,80
80,218
80,304
80,316
80,564
80,217
80,440
80,983
81,1
81,21
81,31
81,59
81,706
81,202
81,717
81,718
81,85
81,467
81,982
81,938
81,865
81,741
81,673
81,876
81,878
81,813
81,383
81,767
81,386
81,389
81,774
81,436
81,665
81,286
81,288
81,672
81,927
81,674
81,930
81,935
81,937
81,302
81,940
81,941
81,434
81,329
81,337
81,692
81,81
82,60
82,317
82,606
82,774
82,84
82,82
83,930
83,102
83,83
83,776
83,697
84,7
84,82
84,317
84,84
84,90
84,91
84,222
84,480
84,230
84,232
84,106
84,156
84,873
84,240
84,241
84,252
84,516
84,902
84,655
84,532
84,536
84,282
84,540
84,923
84,419
84,294
84,169
84,928
84,180
84,314
85,81
85,349
85,743
85,320
85,951
85,358
85,105
85,838
85,904
85,112
85,828
85,877
85,494
85,85
85,86
85,277
85,280
85,939
85,648
85,878
86,1
86,22
86,35
86,36
86,47
86,59
86,70
86,72
86,85
86,581
86,586
86,86
86,91
86,601
86,492
86,98
86,608
86,615
86,616
86,109
86,110
86,112
86,624
86,630
86,123
86,125
86,412
86,131
86,646
86,648
86,649
86,142
86,151
86,665
86,676
86,679
86,174
86,179
86,691
86,692
86,192
86,194
86,424
86,200
86,202
86,711
86,204
86,205
86,717
86,718
86,935
86,213
86,730
86,224
86,741
86,743
86,238
86,432
86,268
86,779
86,782
86,274
86,784
86,785
86,277
86,280
86,790
86,286
86,288
86,289
86,291
86,801
86,803
86,864
86,297
86,811
86,813
86,815
86,819
86,313
86,314
86,783
86,318
86,828
86,836
86,329
86,108
86,336
86,617
86,351
86,352
86,354
86,355
86,620
86,867
86,361
86,878
86,372
86,376
86,383
86,384
86,385
86,895
86,896
86,910
86,183
86,921
86,416
86,927
86,419
86,421
86,933
86,426
86,938
86,939
86,941
86,943
86,440
86,953
86,965
86,467
86,469
86,470
86,980
86,981
86,982
86,477
86,989
86,386
86,482
86,1001
86,500
86,1013
86,505
86,518
86,568
86,554
86,567
86,569
87,20
87,130
87,268
87,142
87,335
87,876
87,432
87,909
87,153
87,662
87,956
87,569
87,602
87,87
88,955
88,721
88,88
89,144
89,725
89,324
89,89
90,22
90,24
90,45
90,72
90,75
90,84
90,446
90,196
90,837
90,591
90,846
90,849
90,90
90,91
90,92
90,351
90,352
90,480
90,735
90,231
90,615
90,616
90,617
90,237
90,1001
90,516
90,783
90,1007
90,372
90,248
90,126
90,253
90,764
90,511
90,135
90,270
90,527
90,911
90,407
90,282
90,289
90,801
90,294
90,928
90,297
90,813
90,910
90,314
91,19
91,22
91,29
91,63
91,72
91,84
91,86
91,90
91,573
91,91
91,102
91,106
91,620
91,621
91,628
91,121
91,127
91,637
91,133
91,143
91,658
91,671
91,169
91,505
91,186
91,189
91,191
91,192
91,711
91,712
91,221
91,732
91,259
91,231
91,232
91,238
91,240
91,241
91,247
91,763
91,764
91,767
91,768
91,775
91,272
91,783
91,784
91,280
91,790
91,282
91,286
91,801
91,294
91,297
91,313
91,314
91,274
91,317
91,336
91,848
91,346
91,351
91,352
91,359
91,385
91,390
91,412
91,923
91,927
91,928
91,930
91,425
91,428
91,966
91,980
91,981
91,480
91,482
91,1011
91,1014
91,514
91,516
91,527
91,532
91,543
91,554
92,45
92,63
92,90
92,954
92,446
92,576
92,706
92,679
92,837
92,743
92,617
92,721
92,219
92,93
92,482
92,864
92,484
92,231
92,615
92,616
92,999
92,92
92,240
92,241
92,120
92,126
92,514
92,773
92,774
92,655
92,541
92,928
92,229
92,933
92,230
92,942
92,273
93,92
93,954
93,925
93,258
93,259
93,93
93,774
93,219
93,111
93,558
93,702
93,1007
93,628
93,823
94,5
94,580
94,887
94,386
94,172
94,94
95,33
95,95
95,98
95,258
95,482
95,699
95,202
95,773
95,774
95,743
95,617
95,616
95,492
95,939
95,940
95,718
95,719
95,828
95,1011
95,665
95,615
96,69
96,96
96,358
96,774
96,238
96,624
96,570
97,544
97,833
97,136
97,488
97,559
97,1007
97,246
97,1011
97,823
97,379
97,97
98,8
98,12
98,22
98,25
98,29
98,33
98,35
98,45
98,52
98,57
98,61
98,86
98,95
98,602
98,606
98,109
98,621
98,119
98,628
98,123
98,143
98,145
98,665
98,163
98,183
98,692
98,185
98,188
98,699
98,192
98,704
98,706
98,709
98,202
98,213
98,722
98,221
98,230
98,515
98,743
98,237
98,238
98,252
98,765
98,767
98,773
98,774
98,778
98,98
98,273
98,783
98,794
98,286
98,287
98,291
98,803
98,295
98,807
98,272
98,264
98,309
98,823
98,274
98,320
98,191
98,845
98,861
98,364
98,198
98,877
98,878
98,887
98,893
98,395
98,911
98,919
98,412
98,419
98,421
98,933
98,939
98,940
98,434
98,436
98,951
98,955
98,965
98,459
98,464
98,469
98,470
98,981
98,482
98,484
98,492
98,493
98,304
98,1011
98,505
98,1019
98,512
98,526
98,533
98,536
98,542
98,557
98,562
99,21
99,286
99,702
99,697
99,428
99,302
99,368
99,847
99,575
99,567
99,568
99,729
99,99
100,75
100,286
100,100
100,514
100,482
100,484
100,615
100,270
100,721
100,905
100,302
100,723
100,212
100,1008
100,120
100,308
100,567
100,568
100,282
100,428
101,36
101,254
101,765
101,610
101,803
101,773
101,743
101,522
101,905
101,383
101,436
101,691
101,983
101,101
102,83
102,91
102,317
102,732
102,733
102,102
102,516
102,106
102,637
103,18
103,910
103,118
103,103
104,3
104,635
104,664
104,886
104,354
104,774
104,837
104,838
104,840
104,542
104,272
104,570
104,104
104,152
104,809
104,186
104,282
104,583
104,576
105,85
105,1019
105,828
105,989
105,847
105,898
105,105
105,614
105,649
105,682
105,461
105,685
105,567
106,45
106,84
106,91
106,102
106,732
106,419
106,803
106,106
106,774
106,928
106,111
106,588
106,557
106,637
106,231
106,292
107,774
107,615
107,584
107,617
107,616
107,813
107,910
107,692
107,107
108,11
108,86
108,828
108,735
108,108
108,299
108,966
108,115
108,656
108,341
108,185
108,473
108,347
108,680
109,86
109,98
109,477
109,351
109,389
109,867
109,319
109,109
109,395
109,718
109,717
